Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,team,team_id,Playing Time_MP
Mohamed Salah,eg EGY,FW,32.0,38.0,38,3371.0,37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,25.2,18.2,14.2,32.4,155.0,144.0,488.0,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,Matches,Liverpool,822bd0ba,
Virgil van Dijk,nl NED,DF,33.0,37.0,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,0.7,3.0,22.0,198.0,6.0,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,822bd0ba,
Ryan Gravenberch,nl NED,MF,22.0,37.0,37,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.1,1.1,3.1,4.2,70.0,181.0,55.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,Matches,Liverpool,822bd0ba,
Alexis Mac Allister,ar ARG,MF,25.0,35.0,30,2599.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.7,7.5,36.0,177.0,80.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,Matches,Liverpool,822bd0ba,
Ibrahima Konaté,fr FRA,DF,25.0,31.0,30,2560.0,28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,25.0,115.0,3.0,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,Matches,Liverpool,822bd0ba,
Dominik Szoboszlai,hu HUN,MF,23.0,36.0,29,2491.0,27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,7.3,7.3,7.4,14.7,72.0,131.0,127.0,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,Matches,Liverpool,822bd0ba,
Andrew Robertson,sct SCO,DF,30.0,33.0,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,4.6,5.8,64.0,176.0,108.0,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,Matches,Liverpool,822bd0ba,
Alisson,br BRA,GK,31.0,28.0,28,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,822bd0ba,
Luis Díaz,co COL,FW,27.0,36.0,28,2399.0,26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,12.0,12.0,5.0,17.1,108.0,110.0,293.0,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,Matches,Liverpool,822bd0ba,
Trent Alexander-Arnold,eng ENG,DF,25.0,33.0,28,2365.0,26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,7.3,9.2,51.0,232.0,94.0,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,Matches,Liverpool,822bd0ba,
